,Y,Pais,edad,genero,Antiguedad,nombre_estado,Tiene_creditos,Creditos,saldo_actual,saldo_vencido,mop_historico,numero_pagos_vencidos,Promedio de limite_credito,Promedio de credito_maximo,Promedio de cantidad_cuotas,Promedio de valor_cuota,ahorro_impacto,bienestar_financiero_impacto,coaching_impacto,gestion_de_gastos_impacto,score,perfil_usuario,sistema_operativo,Desinstalaciones,Tiene_ahorro,monto_ahorro,monto_bloqueado,monto_total,Tiene_seguros,Seguros,Activo_saldo_actual,Activo_saldo_vencido,%_Activo,Activos_pagos_vencidos,Activos_garantia,Autos_saldo_actual,Autos_saldo_vencido,%_Autos,Autos_pagos_vencidos,Autos_garantia,Comunicaciones_saldo_actual,Comunicaciones_saldo_vencido,%_comunicaciones,Comunicaciones_pagos_vencidos,Comunicaciones_garantia,Consumo_saldo_actual,Consumo_saldo_vencido,%_consumo,consumo_pagos_vencidos,consumo_garantia,Educacion_saldo_actual,Educacion_saldo_vencido,%_educuacion,Educacion_pagos_vencidos,Educacion_garantia,Libranza_saldo_actual,Libranza_saldo_vencido,%_libranza,Libranza_pagos_vencidos,Libranza_garantia,Microcredito_saldo_actual,Microcredito_saldo_vencido,%_microcredito,microcredito_pagos_vencidos,microcredito_garantia,Otros_saldo_actual,Otros_saldo_vencido,%_otro,Otros_pagos_vencidos,Otros_garantia,Tarjeta_credito_saldo_actual,Tarjeta_credito_saldo_vencido,%_tarjeta,Tarjeta_pagos_vencidos,Tarjeta_garantia,Vivienda_saldo_actual,Vivienda_saldo_vencido,%_vivienda,Vivienda_pagos_vencidos,Vivienda_garantia,Garantia
9,0,CO,59.0,FEMENINO,Menos de 6 meses,,1,4,1165000.0,1165000.0,6,7.0,,99999.0,1.25,14249.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,765000.0,765000.0,0.656652360515021,0.0,1.0,,,,,,,,,,,,,,,,400000.0,400000.0,0.343347639484978,7.0,1.0,,,,,,,,,,,,,,,,2.0
11,0,CO,34.0,MASCULINO,Menos de 6 meses,,1,5,14176000.0,13750000.0,6,,0.0,2555800.0,8.67,2766200.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,345000.0,345000.0,0.0243369074492099,,1.0,13831000.0,13405000.0,0.97566309255079,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
12,0,CO,33.0,MASCULINO,Menos de 6 meses,,1,3,624000.0,624000.0,N,,0.0,116000.0,1.0,116000.0,0.0,0.0,0.0,0.0,162.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,276000.0,276000.0,0.442307692307692,,1.0,348000.0,348000.0,0.557692307692307,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
19,0,CO,36.0,MASCULINO,Menos de 6 meses,,1,9,7109000.0,4781000.0,N,,0.0,1427333.0,16.13,63111.0,0.0,0.0,0.0,0.0,278.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,105000.0,105000.0,0.0147700098466732,,1.0,7004000.0,4676000.0,0.985229990153326,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
20,0,CO,41.0,MASCULINO,de 6 meses a 1 año,,1,15,1737999.0,1688999.0,N,3.0,,30916.0,-0.83,25666.0,0.0,0.0,0.0,0.0,259.0,Bajo,ANDROID,1.0,1,50000.0,,,0,0,,,,,,,,,,,1564999.0,1515999.0,0.900460241921888,2.0,1.0,173000.0,173000.0,0.0995397580781116,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
25,0,CO,23.0,MASCULINO,Menos de 6 meses,,1,1,388000.0,388000.0,6,1.0,,150000.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,388000.0,388000.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
33,0,CO,27.0,MASCULINO,Menos de 6 meses,,1,9,855000.0,0.0,N,0.0,,514221.0,14.67,24000.0,0.0,0.0,0.0,0.0,745.0,Medio,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,855000.0,0.0,1.0,0.0,1.0,,,,,,,,,,,2.0
56,0,CO,22.0,FEMENINO,Menos de 6 meses,Cundinamarca,1,5,434998.0,363998.0,N,10.0,,-1.0,5.0,14000.0,0.0,0.0,0.0,0.0,439.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,434998.0,363998.0,1.0,10.0,1.0,,,,,,,,,,,2.0
57,0,CO,38.0,FEMENINO,Menos de 6 meses,,1,2,365000.0,458000.0,6,2.0,,75000.0,1.0,182500.0,0.0,0.0,0.0,0.0,315.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,252000.0,252000.0,0.690410958904109,1.0,1.0,,,,,,,,,,,,,,,,113000.0,206000.0,0.30958904109589,1.0,1.0,,,,,,,,,,,2.0
59,0,CO,38.0,MASCULINO,Menos de 6 meses,,1,3,0.0,0.0,N,,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,696.0,Medio,ANDROID,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,,,1.0,,,,,,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
