Creditos;saldo_actual;saldo_vencido;Promedio de limite_credito;Promedio de credito_maximo;Promedio de cantidad_cuotas;Promedio de valor_cuota;coaching_impacto;Comunicaciones_saldo_actual;Comunicaciones_pagos_vencidos;Consumo_saldo_actual;perfil_usuario_Alto;perfil_usuario_Joven;perfil_usuario_Sin registro
1;21295000;0.0;0.0;24926000.0;48;646000.0;0;0.0;0;0.0;1;0;0
1;4889000;626000.0;0.0;5369000.0;48;176000.0;0;0.0;0;0.0;0;0;0
1;6260000;11057000.0;0.0;6260000.0;1;11057000.0;0;0.0;0;6260000.0;0;0;0
1;55860000;0.0;0.0;56470000.0;97;960000.0;0;0.0;0;0.0;0;0;1
2;19687000;0.0;8000000.0;0.0;0;296500.0;0;0.0;0;0.0;0;0;1
2;31794000;0.0;0.0;24092000.0;48;593500.0;0;0.0;0;31794000.0;0;0;1
2;58929000;0.0;0.0;12582499.5;120;151000.0;0;0.0;0;0.0;1;0;0
1;25484000;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0;1
1;7634000;0.0;9008000.0;0.0;3;4324000.0;0;0.0;0;0.0;1;0;0
2;47388000;0.0;0.0;24000000.0;84;378500.0;0;0.0;0;5088000.0;0;0;1
1;31799000;0.0;0.0;32984000.0;244;321000.0;0;0.0;0;0.0;0;0;1
1;24442000;0.0;0.0;0.0;14;0.0;0;0.0;0;0.0;1;0;0
1;18327000;2066000.0;0.0;18455000.0;78;261000.0;0;0.0;0;18327000.0;0;0;1
1;4796000;0.0;4300000.0;0.0;3;439000.0;0;0.0;0;0.0;0;0;1
2;21090000;0.0;0.0;0.0;1;10545000.0;0;0.0;0;0.0;1;0;0
1;6444000;0.0;0.0;6693000.0;60;171000.0;0;0.0;0;6444000.0;0;0;1
1;71712000;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0;1
1;28528000;0.0;0.0;33470000.0;84;709000.0;0;0.0;0;28528000.0;1;0;0
1;236864000;0.0;0.0;238500000.0;180;2589000.0;0;0.0;0;0.0;1;0;0
4;90580000;0.0;0.0;23100000.0;69;496500.0;0;0.0;0;90580000.0;1;0;0
1;5485000;1326000.0;4900000.0;0.0;3;5141000.0;0;0.0;0;0.0;0;0;1
1;68575000;0.0;0.0;64981000.0;360;366000.0;0;0.0;0;0.0;0;0;1
2;111417000;123239000.0;25300000.0;92000000.0;96;15305000.0;0;0.0;0;87374000.0;0;0;0
4;166079000;0.0;5000000.0;53767333.33333329;100;696000.0;0;0.0;0;160981000.0;1;0;0
1;4983000;0.0;0.0;5000000.0;60;148000.0;0;0.0;0;4983000.0;1;0;0
1;12754000;0.0;14000000.0;0.0;3;1028000.0;0;0.0;0;0.0;1;0;0
1;9854000;0.0;0.0;11000000.0;60;267000.0;0;0.0;0;9854000.0;0;0;1
2;12057000;0.0;0.0;6128500.0;48;214000.0;0;0.0;0;12057000.0;0;0;0
2;75828000;3914000.0;0.0;3523000.0;18;111500.0;0;0.0;0;6459000.0;0;0;0
1;4535000;2484000.0;0.0;2050000.0;1;2050000.0;0;0.0;0;4535000.0;0;0;0
3;191691000;0.0;0.0;65560000.0;61;1520666.66666666;0;0.0;0;191691000.0;0;0;1
1;6123000;0.0;0.0;6135000.0;61;178000.0;0;0.0;0;0.0;0;0;0
1;5707000;0.0;0.0;7216000.0;24;375000.0;0;0.0;0;5707000.0;0;0;1
3;76764000;38869000.0;7246000.0;22356333.333333302;60;3709333.33333333;0;0.0;0;67509000.0;0;0;0
1;38160000;0.0;0.0;37175000.0;289;212000.0;0;0.0;0;0.0;1;0;0
2;125870000;125870000.0;0.0;13382999.5;30;26024000.0;0;0.0;0;125870000.0;0;0;0
1;21370000;0.0;0.0;23625000.0;48;763000.0;0;0.0;0;21370000.0;0;0;0
1;10338000;0.0;0.0;12700000.0;83;321000.0;0;0.0;0;10338000.0;1;0;0
1;67910000;0.0;0.0;74604000.0;181;805000.0;0;0.0;0;0.0;1;0;0
1;5577000;0.0;0.0;6221000.0;36;236000.0;0;0.0;0;5577000.0;1;0;0
1;50340000;0.0;0.0;50575000.0;120;714000.0;0;0.0;0;50340000.0;0;0;1
1;20425000;0.0;0.0;19556000.0;108;443000.0;0;0.0;0;0.0;0;0;0
1;4603000;0.0;5416000.0;0.0;3;292000.0;0;0.0;0;0.0;0;0;0
2;171982008;0.0;5250000.0;81306000.0;108;1437500.0;0;0.0;0;0.0;0;0;1
2;69398000;0.0;0.0;35500000.0;162;415000.0;0;0.0;0;12478000.0;1;0;0
3;40297000;0.0;2533333.33333333;11675000.0;56;360666.666666666;0;0.0;0;5714000.0;0;0;1
2;60766000;0.0;0.0;33998500.0;77;683000.0;0;0.0;0;38351000.0;0;0;0
1;6129000;6129000.0;0.0;6200000.0;0;6129000.0;0;0.0;0;6129000.0;0;0;0
1;51456000;0.0;0.0;52600000.0;120;839000.0;0;0.0;0;51456000.0;1;0;0
1;10976000;10976000.0;0.0;12000000.0;20;0.0;0;0.0;0;0.0;0;0;0
1;4527000;0.0;0.0;5000000.0;24;266000.0;0;0.0;0;4527000.0;1;0;0
1;21455000;0.0;0.0;0.0;25;0.0;0;0.0;0;0.0;0;0;1
2;61536000;0.0;0.0;30755500.0;72;392000.0;1;0.0;0;5376000.0;1;0;0
1;5507000;0.0;0.0;5736000.0;48;177000.0;0;0.0;0;5507000.0;0;0;0
1;56698000;0.0;0.0;50106000.0;240;677000.0;0;0.0;0;0.0;1;0;0
1;16818000;0.0;0.0;17203000.0;82;457000.0;0;0.0;0;16818000.0;0;0;1
2;33766000;0.0;0.0;17500000.0;48;587000.0;0;0.0;0;33766000.0;0;0;1
1;14183000;20778000.0;0.0;14300000.0;96;329000.0;0;0.0;0;14183000.0;0;0;1
2;42743000;0.0;0.0;22122500.0;78;431500.0;0;0.0;0;42743000.0;1;0;0
3;48231000;11919000.0;6666666.66666666;15420000.0;90;4272666.66666666;0;0.0;0;27649000.0;0;0;1
1;12000000;0.0;0.0;12000000.0;60;334000.0;0;0.0;0;12000000.0;0;0;1
1;9332000;0.0;0.0;10000000.0;36;277000.0;0;0.0;0;9332000.0;1;0;0
